6.9999	5.0012	0.01	0.18911	0.019988	1.6921	1.0404	1.0001	0.079589	1.1105	0.47244	6.6689	2.501	20.006	1.0002
7	3.221	0.01	0.21111	0.02	1.1667	1	0.41667	0.34816	1.3333	0.8	12	1.9765	30	1
4	7	0.01	0.25926	0.02	1	1	0.41528	0.4	1.3333	0.99999	1.8604	7	15	0.40107
4.9712	4.3545	0.01	0.28265	0.020693	1.037	0.5	0.5	0.4	0.88721	0.97965	5.6407	0.64815	15	1
7	4.9997	0.01	0.19994	0.020003	1.1942	1.0001	2.0976	0.69454	1.0002	0.49988	6.9994	2.5003	15.001	0.99985
6.6884	5	0.01	0.1	0.024939	1	1	1	0.8	0.88889	0.3	58.43	3.484	20	-0.44777
2.56	3.7132	0.01	0.29771	0.016138	1.6922	1.1323	0.95119	-0.12229	0.99998	0.47756	9.0053	2.4805	15.022	0.79706
7	3	0.01	0.3	0.02	4	0.89866	0.5	-0.9086	1.3333	0.6	6	1.5	-949.86	1
4.5324	5.1735	0.01	0.038158	0.026175	0.6307	1.3693	1.3693	0.42015	0.57794	0.025662	6.2662	0.72654	18.376	0.57794
3.3542	4.4722	0.01	0.44167	0.01	1.2309	1.9705	0.36806	0.23472	0.54676	1.1785	5.1736	3.7758	16.889	0.73611
6.7778	5	0.01	0.14295	0.02	4	4	1	0.57778	1	0.12461	6	5	15	1
5	5.4492	0.01	0	0.01	1.9028	2	0.5	0.68403	1.1657	0.6	6	2.5	12.831	1.2
3.6902	6.9999	0.01	0.30562	0.02	2.3434	2.2082	1	0.049719	1.5	0.6	6	2.5	20	0.61253
7	5.0058	0.01	0.20117	0.020059	0.99745	1.0026	0.8587	-0.092273	1.0002	0.24175	7.9897	2.4949	15.023	0.12569
7	2	0.01	0.32628	0.51687	1	1	1	0.8	1	0.3	6	3.5	15	1
6.9999	6.9999	0.01	0.1	0.02	2	1	0.5	-0.19947	1	0	6	0.48361	10	0.42191
2.6667	6	0.01	0.22812	0.02	1.111	1.9667	1.1709	0.68504	0.85034	0.6	34.23	3.3333	15	1
7	5	0.01	0.1734	0.02	1.6262	1	1	0.83859	1	0.1248	12	2.5515	15	1.6574
5.095	4.0342	0.01	0.32922	0.01	1.1817	1.16	0.87954	0.70757	0.96106	0.63543	5.6406	2.6797	15.822	1.1027
5	7	0.01	0.3	0.02	1.3077	1	0.5	0.34398	1	-6.0555e-06	6	1.2257	15	1
7	4.1073	0.01	0	0.04	1.2677	0.92535	1	0.8	1	0.3	6	2.5	15	1
4.8013	7	0.01	0.11975	0.018123	1.1667	1.3595	2	0.8	0.86267	0.53333	6	2.5	15	0.63423
2.8889	6.3846	0.01	0.29588	0.02	1.1151	1.169	1.0703	0.45064	1	0.3	6	2.5	3.4051	1.1015
7	5.876	0.01	0.19971	0.01	1.1667	0.5	0.58223	0.21124	1	0.3	6.6667	3.142	15	1.3333
4.9748	7	0.01	0.05968	0.03055	1.5605	2.7699	0.95819	0.80017	1.5001	1.3605	6.117	2.4997	20.003	0.83576
6.9999	4.8943	0.01	0.16986	0.025628	1.2863	3.0712	1.1024	0.442	1.1971	0.42813	5.3101	2.3345	13.423	0.7577
5.0675	4.8889	0.01	0.20535	0.02	1	1	1	0.75307	1.0694	0.3	20.804	2.6852	16.111	1
2.9272	7	0.01	0.32911	0.026449	0.47574	2.1304	1.0425	0.75633	1.0485	0.26846	6.1698	2.4151	10.267	0.95148
5.0839	5.1433	0.01	0.1963	0.020591	1.3333	1.9125	1.2165	0.76992	0.78671	0.66667	6	3.7037	17.039	1
7	7	0.01	0.2	0.02	0.5	1	0.99999	0.65951	1.3333	0.3	6	2.5	15	1
4.6667	7	0.01	0.2	0.01	4	1	1.1293	0.4	0.59114	0.33333	15.556	2.5349	14.242	0.88485
4.8704	7	0.01	0.18668	0.01	1.5032	0.95833	1.158	1.0667	1.1032	0.4	6	2.8333	15	1
3.0226	7	0.01	0.096984	0.018766	1.8611	0.53187	2.1695	0.96222	0.98492	0.70106	6.6139	2.4736	15.121	0.98492
3.0226	7	0.01	0.096984	0.018766	1.8611	0.53187	2.1695	0.96222	0.98492	0.70106	6.6139	2.4736	15.121	0.98492
2.3889	5.1944	0.01	0.19566	0.24	2.3333	0.99999	1	0.97821	1	0.3	6.5556	2.7778	15	1
1	5	0.01	0.2	0.03	1.4748	0.625	0.5	0.14896	1.3333	0.6	6	2.5	-135	0.30489
7	4.2082	0.01	0.20055	0.017943	2.2108	2.0827	1.3407	0.57546	1.0036	0.66981	6.1333	1.4143	24.526	0.92473
7	2.6338	0.01	0.096279	0.020658	1.0288	1.2786	1.1034	0.82961	0.99435	0.27862	6.1151	1.8064	15.263	-1.1993
