4078	12	1
1651	36	0
2887	24	0
3506	1	1
3488	12	1
1531	36	1
4012	12	0
3870	36	1
1136	1	1
1464	6	0
1044	3	1
4078	12	0
3506	1	0
2187	1	0
3185	24	0
1044	3	0
5349	1	0
1057	18	1
620	9	1
4571	9	0
5462	18	1
4194	3	1
549	6	0
4881	18	0
5197	36	0
4012	12	1
201	3	1
1057	18	0
4660	24	0
1571	24	0
1212	1	1
1212	1	0
5197	36	1
1464	6	1
2331	3	1
1185	9	1
1394	24	0
419	6	0
201	3	0
2538	9	1
3804	12	1
3185	24	1
3870	36	0
3976	18	1
19	9	0
1185	9	0
3393	6	1
1136	1	0
2049	1	1
2187	1	1
5051	24	0
2538	9	0
2049	1	0
4194	3	0
3258	18	0
3976	18	0
3820	18	1
1651	36	1
2770	36	0
5051	24	1
5349	1	1
4516	12	1
549	6	1
4881	18	1
19	9	1
4660	24	1
2887	24	1
3804	12	0
5462	18	0
4571	9	1
1531	36	0
419	6	1
1687	36	0
5374	3	1
3393	6	0
3488	12	0
620	9	0
1394	24	1
5447	6	1
2865	12	0
5447	6	0
2865	12	1
5374	3	0
879	3	0
1687	36	1
768	6	1
655	9	0
879	3	1
3820	18	0
768	6	0
655	9	1
4516	12	0
1571	24	1
2770	36	1
2331	3	0
3258	18	1
